OBJECTID,Planning_Authority,Tier,Planning_Reference,ITM_X_Coordinate,ITM_Y_Coordinate,Planning_Permission__Units_Perm,Units_Completed_to_Date,Units_Under_Construction,Activity_On_Site,Units_Permitted_But_Not_Commenc,Planning_Search_URL
263,Fingal County Council,1,F16A/0583,722519,746313,22,0,0,Y,22,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
264,Fingal County Council,1,F06A/0423/E1,720428,746125,17,16,1,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
265,Fingal County Council,1,F11A/0386/E1,721860,744416,76,54,19,Y,3,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
266,Fingal County Council,1,F13A/0459,722193,744845,56,0,6,Y,50,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
267,Fingal County Council,1,F14A/0483,720905,744909,34,4,24,Y,6,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
268,Fingal County Council,1,F14A/0173,716638,741012,18,0,18,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
269,Fingal County Council,1,F15A/0552,713210,740968,17,0,17,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
270,Fingal County Council,1,F13A/0248,723042,742265,101,75,26,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
271,Fingal County Council,1,F15A/0258,723019,742573,113,0,35,Y,78,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
272,Fingal County Council,1,F16A/0024,726080,754506,35,0,21,Y,14,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
273,Fingal County Council,1,F15A/0054,715419,740536,62,0,62,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
274,Fingal County Council,1,F15A/0440,715930,740879,379,0,41,Y,338,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
275,Fingal County Council,1,F05A/1818/E1,723196,761004,357,235,80,Y,42,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
276,Fingal County Council,1,F11A/0309/E1,725127,759331,103,63,34,Y,6,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
277,Fingal County Council,1,F14A/0218,718593,747236,28,11,14,Y,3,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
278,Fingal County Council,1,F15A/0055,719581,746081,31,0,31,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
279,Fingal County Council,1,F15A/0132,718948,746011,18,17,1,Y,0,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
280,Fingal County Council,1,F15A/0279,719483,746253,55,0,6,Y,49,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
281,Fingal County Council,1,F11A/0436/E1,716674,748497,243,226,3,Y,14,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
282,Fingal County Council,1,F11A/0473/E1,716408,748581,222,2,0,Y,220,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
283,Fingal County Council,1,F15A/0390,716832,748770,181,32,124,Y,25,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
284,Fingal County Council,1,F14A/0365,716155,745855,173,98,71,Y,4,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
285,Fingal County Council,1,F07A/0770/E1,719204,764126,14,0,0,N,14,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
286,Fingal County Council,1,F08A/0181/E1,719486,763434,103,0,0,N,103,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
287,Fingal County Council,1,F08A/1152/E1,720197,764039,14,0,0,N,14,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
288,Fingal County Council,1,F08A/1329,718039,763901,531,0,0,N,531,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
289,Fingal County Council,1,F11A/0290,723500,740887,371,0,0,N,371,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
290,Fingal County Council,1,F16A/0412,723279,740669,546,0,0,N,546,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
291,Fingal County Council,1,F16A/0541 ,725454,739596,21,0,0,N,21,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
292,Fingal County Council,1,F14A/0488,720340,760843,42,0,0,N,42,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
293,Fingal County Council,1,F16A/0152,720041,743397,46,0,0,N,46,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
294,Fingal County Council,1,F15A/0609 ,720736,741211,176,0,0,N,176,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
295,Fingal County Council,1,FW09A/0087/E1,709024,737169,33,0,0,N,33,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
296,Fingal County Council,1,FW16A/0084,704459,738960,28,0,0,N,28,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
297,Fingal County Council,1,FW16A/0176 ,705067,738311,96,0,0,N,96,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
298,Fingal County Council,1,FW15A/0174,706374,737620,76,0,0,N,76,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
299,Fingal County Council,1,F15A/0456,723252,750605,43,0,0,N,43,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
300,Fingal County Council,1,F16A/0268 ,722571,750098,45,0,0,N,45,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
301,Fingal County Council,1,F16A/0605,722507,750097,31,0,0,N,31,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
302,Fingal County Council,1,F17A/0113 ,722558,749556,251,0,0,N,251,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
303,Fingal County Council,1,FW17A/0066,711435,739255,44,0,0,N,44,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
304,Fingal County Council,1,F17A/0692,707240,758687,11,0,0,N,11,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
305,Fingal County Council,1,FW17A/0139,703807,739051,26,0,0,N,26,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
306,Fingal County Council,1,F14A/0108,728757,739161,22,0,0,N,22,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
307,Fingal County Council,1,F15A/0303,726256,739159,78,0,0,N,78,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
308,Fingal County Council,1,F11A/0028/E1,727754,739413,200,0,0,N,200,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
309,Fingal County Council,1,FW13A/0088,707598,742802,172,0,0,N,172,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
310,Fingal County Council,1,FW15A/0009,708282,742612,183,0,0,N,183,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
311,Fingal County Council,1,F16A/0464,721722,743006,100,0,0,N,100,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
312,Fingal County Council,1,F16A/0511,721435,743132,82,0,0,N,82,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
313,Fingal County Council,1,F15A/0111,721905,754530,17,0,0,N,17,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
314,Fingal County Council,1,F15A/0565,721978,754370,148,0,0,N,148,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
315,Fingal County Council,1,F16A/0577,720934,754190,51,0,0,N,51,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
316,Fingal County Council,1,F14A/0106,723066,745340,46,0,0,N,46,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
317,Fingal County Council,1,F13A/0443,720943,744643,22,0,0,N,22,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
318,Fingal County Council,1,F13A/0460,722047,744483,80,0,0,N,80,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
319,Fingal County Council,1,F17A/0573,721180,744620,13,0,0,N,13,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
320,Fingal County Council,1,F17A/0215,712713,740646,222,0,0,N,222,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
321,Fingal County Council,1,FW16A/0126,706338,740161,14,0,0,N,14,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
322,Fingal County Council,1,FW17A/0048,706685,740204,17,0,0,N,17,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
323,Fingal County Council,1,F17A/0357,711535,754270,14,0,0,N,14,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
324,Fingal County Council,1,FW15A/0145,706490,737787,143,0,0,N,143,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
325,Fingal County Council,1,F09A/0381/E1,722831,742431,56,0,0,N,56,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
326,Fingal County Council,1,F14A/0132,722692,741939,270,0,0,N,270,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
327,Fingal County Council,1,SHD002/17,723211,742383,150,0,0,N,150,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
328,Fingal County Council,1,F14A/0274,713279,750181,17,0,0,N,17,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
329,Fingal County Council,1,F16A/0148,725940,755134,22,0,0,N,22,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
330,Fingal County Council,1,F16A/0221,725874,754586,129,0,0,N,129,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
331,Fingal County Council,1,F17A/0391 ,725206,754136,20,0,0,N,20,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
332,Fingal County Council,1,F06A/1481/E1,717098,740177,35,0,0,N,35,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
333,Fingal County Council,1,F08A/0578/E1,715413,740786,37,0,0,N,37,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
334,Fingal County Council,1,F08A/0884/E1,718251,746786,32,0,0,N,32,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
335,Fingal County Council,1,F08A/1057/E1,718334,746252,189,0,0,N,189,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
336,Fingal County Council,1,F15A/0183,716211,748040,248,0,0,N,248,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
337,Fingal County Council,1,F16A/0505,716035,747884,215,0,0,N,215,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
338,Fingal County Council,1,F17A/0599,716053,745538,17,0,0,N,17,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
339,Fingal County Council,1,FW16A/0079,708597,738312,36,0,0,N,36,http://planning.fingalcoco.ie/swiftlg/apas/run/wphappcriteria.display
340,South Dublin County Council,1,SD13A/0263,702162,726414,16,0,12,Y,4,http://www.sdublincoco.ie/index.aspx?pageid=144
341,South Dublin County Council,1,SD14A/0066,713015,726252,23,9,14,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
342,South Dublin County Council,1,SD14A/0180,710555,725567,137,127,8,Y,2,http://www.sdublincoco.ie/index.aspx?pageid=144
343,South Dublin County Council,1,SD15A/0012,705935,735140,102,62,40,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
344,South Dublin County Council,1,SD15A/0036,712919,728860,16,0,12,Y,4,http://www.sdublincoco.ie/index.aspx?pageid=144
345,South Dublin County Council,1,SD15A/0150,711206,725631,74,8,14,Y,52,http://www.sdublincoco.ie/index.aspx?pageid=144
346,South Dublin County Council,1,SD16A/0157,709912,729413,45,0,3,Y,42,http://www.sdublincoco.ie/index.aspx?pageid=144
347,South Dublin County Council,1,SDZ16A/0005,702920,733989,246,0,96,Y,150,http://www.sdublincoco.ie/index.aspx?pageid=144
348,South Dublin County Council,1,"SD05A/0274,SD07A/0683,SD05A/0274/EP,SD08A/0581,SD15A/0056,SD15A/0057,SD16A/0448,SD17A/0091,SD17A/0187",703846,732812,67,42,23,Y,2,http://www.sdublincoco.ie/index.aspx?pageid=144
349,South Dublin County Council,1,"SD11A/0144,SD14A/0107",712597,728544,16,4,10,Y,2,http://www.sdublincoco.ie/index.aspx?pageid=144
350,South Dublin County Council,1,"SD12A/0168,SD15A/0010,SD15A/0181,SD17A/0300",707974,725715,284,212,28,Y,44,http://www.sdublincoco.ie/index.aspx?pageid=144
351,South Dublin County Council,1,"SD13A/0249,SD15A/0050,SD16A/0133",701418,726642,26,24,2,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
352,South Dublin County Council,1,"SD14A/0121,SD15A/0095,SD16A/0297",704685,727404,236,80,70,Y,86,http://www.sdublincoco.ie/index.aspx?pageid=144
353,South Dublin County Council,1,"SD14A/0222,SD17A/0132,SD17A/0355",712367,726210,175,0,137,Y,38,http://www.sdublincoco.ie/index.aspx?pageid=144
354,South Dublin County Council,1,"SD14A/0280,SD17A/0398",714338,726954,30,11,18,Y,1,http://www.sdublincoco.ie/index.aspx?pageid=144
355,South Dublin County Council,1,"SD15A/0005,SD17A/0260",711077,729930,61,7,48,Y,6,http://www.sdublincoco.ie/index.aspx?pageid=144
356,South Dublin County Council,1,"SD15A/0017,SD16A/0355,SD16A/0384,SD17A/0434",712982,726633,319,124,47,Y,148,http://www.sdublincoco.ie/index.aspx?pageid=144
357,South Dublin County Council,1,"SD15A/0127,SD16A/0266,SD17A/0054",705507,727800,382,45,30,Y,307,http://www.sdublincoco.ie/index.aspx?pageid=144
358,South Dublin County Council,1,"SD15A/0192,SD17A/0171",706841,732913,67,50,17,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
359,South Dublin County Council,1,"SD15A/0193,SD17A/0288",700203,729015,74,22,12,Y,40,http://www.sdublincoco.ie/index.aspx?pageid=144
360,South Dublin County Council,1,"SD15A/0206,SD17A/0138",705526,728761,59,53,6,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
361,South Dublin County Council,1,"SD16A/0229,SD17A/0101,SD17A/0111",701129,726339,114,46,36,Y,32,http://www.sdublincoco.ie/index.aspx?pageid=144
362,South Dublin County Council,1,"SDZ10A/0001,SDZ13A/0005,SDZ16A/0004,SDZ16A/0006,SDZ17A/0005",702057,733122,177,150,6,Y,21,http://www.sdublincoco.ie/index.aspx?pageid=144
363,South Dublin County Council,1,"SDZ16A/0003,SDZ17A/0001",702197,734238,267,90,177,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
364,South Dublin County Council,1,"SDZ17A/0002,SDZ18A/0001",702016,733594,135,0,135,Y,0,http://www.sdublincoco.ie/index.aspx?pageid=144
365,South Dublin County Council,1,SD07A/0931/EP,709076,730082,24,0,0,N,24,http://www.sdublincoco.ie/index.aspx?pageid=144
366,South Dublin County Council,1,SD09A/0021/EP,708189,735243,102,0,0,N,102,http://www.sdublincoco.ie/index.aspx?pageid=144
367,South Dublin County Council,1,SD13A/0221,703316,726982,40,0,0,N,40,http://www.sdublincoco.ie/index.aspx?pageid=144
368,South Dublin County Council,1,SD14A/0183,710534,727906,13,0,0,N,13,http://www.sdublincoco.ie/index.aspx?pageid=144
369,South Dublin County Council,1,SD15A/0027,711323,729668,12,0,0,N,12,http://www.sdublincoco.ie/index.aspx?pageid=144
370,South Dublin County Council,1,SD15A/0105,707483,734100,40,0,0,N,40,http://www.sdublincoco.ie/index.aspx?pageid=144
371,South Dublin County Council,1,SD16A/0060,710765,729861,26,0,0,N,26,http://www.sdublincoco.ie/index.aspx?pageid=144
372,South Dublin County Council,1,SD16A/0078,704974,727331,128,0,0,N,128,http://www.sdublincoco.ie/index.aspx?pageid=144
373,South Dublin County Council,1,SD16A/0117,700475,728836,48,0,0,N,48,http://www.sdublincoco.ie/index.aspx?pageid=144
374,South Dublin County Council,1,SD16A/0165,713642,729162,16,0,0,N,16,http://www.sdublincoco.ie/index.aspx?pageid=144
375,South Dublin County Council,1,SD16A/0171,702075,726750,12,0,0,N,12,http://www.sdublincoco.ie/index.aspx?pageid=144
376,South Dublin County Council,1,SD16A/0210,705157,727558,111,0,0,N,111,http://www.sdublincoco.ie/index.aspx?pageid=144
377,South Dublin County Council,1,SD16A/0249,707163,734246,27,0,0,N,27,http://www.sdublincoco.ie/index.aspx?pageid=144
378,South Dublin County Council,1,SD16A/0306,703055,733415,94,0,0,N,94,http://www.sdublincoco.ie/index.aspx?pageid=144
379,South Dublin County Council,1,SD16A/0346,707726,725850,62,0,0,N,62,http://www.sdublincoco.ie/index.aspx?pageid=144
380,South Dublin County Council,1,SD16A/0441,704036,727913,84,0,0,N,84,http://www.sdublincoco.ie/index.aspx?pageid=144
381,South Dublin County Council,1,SD16A/0450,706763,731519,10,0,0,N,10,http://www.sdublincoco.ie/index.aspx?pageid=144
382,South Dublin County Council,1,SD17A/0010,699805,728881,27,0,0,N,27,http://www.sdublincoco.ie/index.aspx?pageid=144
383,South Dublin County Council,1,SD17A/0030,705295,727246,13,0,0,N,13,http://www.sdublincoco.ie/index.aspx?pageid=144
384,South Dublin County Council,1,SD17A/0066,710189,725931,10,0,0,N,10,http://www.sdublincoco.ie/index.aspx?pageid=144
385,South Dublin County Council,1,SD17A/0090,703386,726630,24,0,0,N,24,http://www.sdublincoco.ie/index.aspx?pageid=144
386,South Dublin County Council,1,SD17A/0121,710208,725664,133,0,0,N,133,http://www.sdublincoco.ie/index.aspx?pageid=144
387,South Dublin County Council,1,SD17A/0412,708271,727752,19,0,0,N,19,http://www.sdublincoco.ie/index.aspx?pageid=144
388,South Dublin County Council,1,SDZ17A/0006,701598,734301,169,0,0,N,169,http://www.sdublincoco.ie/index.aspx?pageid=144
389,South Dublin County Council,1,SDZ18A/0002,702113,734100,268,0,0,N,268,http://www.sdublincoco.ie/index.aspx?pageid=144
390,South Dublin County Council,1,TC06S.TC0013,704455,727877,524,0,0,N,524,http://www.sdublincoco.ie/index.aspx?pageid=144
391,South Dublin County Council,1,"SD09A/0016,SD10A/0041,SD09A/0318",712360,726079,122,0,0,N,122,http://www.sdublincoco.ie/index.aspx?pageid=144
392,South Dublin County Council,1,"SD11A/0189,SD13A/0268",705137,728382,60,0,0,N,60,http://www.sdublincoco.ie/index.aspx?pageid=144
